car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,fuel_type,seller_type,year,engine_mileage_ratio,power_engine_ratio,km_per_year,power_mileage_ratio
Maruti Celerio,Maruti,Celerio,3.0,5000,Automatic,23.1,998.0,67.04,5,475000,0,0,1,0,0,0,1,Petrol,Owner,2023.0,43.2034632034632,0.06717434869739479,1666.6666666666667,2.9021645021645024
Ford Ecosport,Ford,Ecosport,4.0,55000,Manual,23.0,1498.0,98.96,5,685000,1,1,0,0,1,0,0,Diesel,Dealer,2022.0,65.1304347826087,0.06606141522029373,13750.0,4.302608695652173
Hyundai Verna,Hyunda,V3Rna,9.0,65000,Automatic,19.08,1582.0,126.32,5,380000,0,1,0,0,1,0,0,Diesel,Dealer,2017.0,82.9140461215933,0.07984829329962073,7222.222222222223,6.620545073375262
Renault KWID,Renault,Kwi,3.0,22000,Manual,23.01,999.0,67.0,5,330000,1,0,1,0,0,0,1,Petrol,Owner,2023.0,43.41590612777053,0.06706706706706707,7333.333333333333,2.911777488048674
Maruti Baleno,Maruti,Baleno,3.0,7671,Manual,21.01,1197.0,81.8,5,650000,1,0,0,0,0,0,1,Petrol,Certified Dealer,2023.0,56.97287006187529,0.0683375104427736,2557.0,3.893384102808186
Maruti Wagon R,Maruti,Wagon R,4.0,66000,Manual,20.51,998.0,67.04,5,325000,1,0,1,1,0,0,0,Cng,Owner,2022.0,48.65919063871282,0.06717434869739479,16500.0,3.2686494392979033
Maruti Swift Dzire,Maruti,Swift Dzire,3.0,45156,Automatic,21.21,1197.0,100.59431352459016,5,640000,0,1,0,0,0,0,1,Petrol,Dealer,2023.0,56.43564356435643,0.08403869133215552,15052.0,4.7427776296365
Hyundai Venue,Maruti,Venue,2.0,25000,Manual,18.27,998.0,118.35,5,949000,1,0,1,0,0,0,1,Petrol,Owner,2024.0,54.62506841817187,0.1185871743486974,12500.0,6.4778325123152705
Hyundai Verna,Hyundai,V3Rna,6.0,120000,Manual,23.9,1582.0,126.2,5,660000,1,0,1,0,1,0,0,Diesel,Owner,2020.0,66.19246861924687,0.0797724399494311,20000.0,5.280334728033473
Maruti Swift,Maruti,Swift,7.0,28000,Manual,16.1,1197.0,85.0,5,435000,1,1,0,0,0,0,1,Petrol,Dealer,2019.0,74.34782608695652,0.07101086048454469,4000.0,5.279503105590062
Hyundai i20,Maruti,I20,8.0,55000,Manual,21.9,1396.0,88.76,5,385000,1,1,0,0,1,0,0,Diesel,Dealer,2018.0,63.74429223744293,0.06358166189111748,6875.0,4.0529680365296805
Hyundai Verna,Hyundai,Verna,2.0,14000,Automatic,22.0,1582.0,126.2,5,1250000,0,1,0,0,1,0,0,Diesel,Dealer,2024.0,71.9090909090909,0.0797724399494311,7000.0,5.736363636363636
Maruti Wagon R,Maruti,Wagon R,4.0,98780,Manual,18.9,998.0,67.1,5,155000,1,1,0,0,0,0,1,Petrol,Dealer,2022.0,52.80423280423281,0.06723446893787574,24695.0,3.5502645502645502
Maruti Swift,Maruti,Swif,6.0,58000,Manual,25.2,1248.0,74.0,5,415000,1,1,0,0,0,0,1,Petrol,Dealer,2020.0,49.523809523809526,0.05929487179487179,9666.666666666666,2.9365079365079367
Maruti Alto,Maruti,Alto,10.0,30000,Manual,20.92,998.0,67.1,5,251000,1,0,1,1,0,0,0,Cng,Owner,2016.0,47.70554493307839,0.06723446893787574,3000.0,3.2074569789674947
